VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1.0,2019-10-01 07:44:14,2019-10-01 08:00:05,N,1.0,74,236,1.0,2.1,11.5,2.75,0.5,3.75,0.0,,0.3,18.8,1.0,1.0,2.75
2.0,2019-10-01 07:10:16,2019-10-01 07:19:14,N,1.0,78,47,1.0,0.64,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,1.0,1.0,0.0
2.0,2019-10-01 07:30:04,2019-10-01 07:48:28,N,1.0,42,75,1.0,2.26,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,1.0,1.0,0.0
2.0,2019-10-01 08:01:21,2019-10-01 08:06:11,N,1.0,42,41,1.0,0.84,5.5,0.0,0.5,1.26,0.0,,0.3,7.56,1.0,1.0,0.0
2.0,2019-10-01 07:31:54,2019-10-01 07:50:06,N,1.0,75,239,1.0,3.22,14.0,0.0,0.5,1.0,0.0,,0.3,18.55,1.0,1.0,2.75
2.0,2019-10-01 07:55:36,2019-10-01 07:58:33,N,1.0,74,75,1.0,0.73,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,0.0
2.0,2019-10-01 07:39:49,2019-10-01 08:07:24,N,1.0,41,100,1.0,4.72,20.0,0.0,0.5,5.89,0.0,,0.3,29.44,1.0,1.0,2.75
2.0,2019-10-01 07:40:43,2019-10-01 07:47:08,N,1.0,166,41,1.0,1.04,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
2.0,2019-10-01 07:10:33,2019-10-01 07:17:18,N,1.0,74,74,1.0,0.76,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
2.0,2019-10-01 07:28:38,2019-10-01 07:34:46,N,1.0,74,42,1.0,0.89,6.0,0.0,0.5,1.02,0.0,,0.3,7.82,1.0,1.0,0.0
2.0,2019-10-01 07:45:48,2019-10-01 07:46:53,N,1.0,74,74,1.0,0.22,3.0,0.0,0.5,0.0,0.0,,0.3,3.8,2.0,1.0,0.0
2.0,2019-10-01 07:56:02,2019-10-01 08:06:29,N,1.0,74,166,1.0,1.97,9.0,0.0,0.5,1.96,0.0,,0.3,11.76,1.0,1.0,0.0
1.0,2019-10-01 07:26:52,2019-10-01 07:33:48,N,1.0,116,238,1.0,2.4,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
2.0,2019-10-01 07:30:32,2019-10-01 07:44:27,N,1.0,244,74,1.0,3.37,14.0,0.0,0.5,2.96,0.0,,0.3,17.76,1.0,1.0,0.0
2.0,2019-10-01 07:49:26,2019-10-01 07:55:13,N,1.0,41,42,1.0,1.1,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
2.0,2019-10-01 07:55:52,2019-10-01 07:59:15,N,1.0,75,74,1.0,0.61,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,0.0
2.0,2019-10-01 07:25:17,2019-10-01 07:38:23,N,1.0,74,238,1.0,2.54,11.0,0.0,0.5,2.91,0.0,,0.3,17.46,1.0,1.0,2.75
2.0,2019-10-01 07:55:14,2019-10-01 08:11:00,N,1.0,74,236,1.0,1.82,11.0,0.0,0.5,2.91,0.0,,0.3,17.46,1.0,1.0,2.75
1.0,2019-10-01 07:23:57,2019-10-01 07:31:15,N,1.0,75,239,1.0,1.5,7.5,2.75,0.5,3.3,0.0,,0.3,14.35,1.0,1.0,2.75
1.0,2019-10-01 07:43:36,2019-10-01 07:58:53,N,1.0,43,143,1.0,2.7,12.5,2.75,0.5,0.0,0.0,,0.3,16.05,2.0,1.0,2.75
2.0,2019-10-01 07:35:58,2019-10-01 08:02:03,N,5.0,127,43,1.0,8.91,25.0,0.0,0.0,0.0,0.0,,0.0,27.75,2.0,2.0,2.75
2.0,2019-10-01 07:54:46,2019-10-01 08:02:57,N,1.0,74,42,1.0,2.19,9.0,0.0,0.5,1.96,0.0,,0.3,11.76,1.0,1.0,0.0
2.0,2019-10-01 07:52:34,2019-10-01 08:27:06,N,1.0,166,137,1.0,6.87,27.5,0.0,0.5,6.21,0.0,,0.3,37.26,1.0,1.0,2.75
1.0,2019-10-01 07:16:11,2019-10-01 07:22:14,N,1.0,126,126,2.0,0.8,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2.0,1.0,0.0
2.0,2019-10-01 07:46:44,2019-10-01 07:57:14,N,1.0,75,140,1.0,2.1,9.5,0.0,0.5,2.0,0.0,,0.3,15.05,1.0,1.0,2.75
2.0,2019-10-01 08:01:45,2019-10-01 08:13:53,N,1.0,7,145,1.0,2.69,11.0,0.0,0.5,0.0,0.0,,0.3,11.8,1.0,1.0,0.0
2.0,2019-10-01 07:21:36,2019-10-01 07:38:09,N,1.0,74,244,1.0,3.11,14.0,0.0,0.5,4.44,0.0,,0.3,19.24,1.0,1.0,0.0
2.0,2019-10-01 07:57:42,2019-10-01 08:13:30,N,1.0,116,74,1.0,1.82,11.0,0.0,0.5,0.0,0.0,,0.3,11.8,1.0,1.0,0.0
1.0,2019-10-01 07:12:01,2019-10-01 08:13:21,N,1.0,42,188,1.0,0.0,38.2,0.0,0.5,0.0,0.0,,0.3,39.0,1.0,1.0,0.0
1.0,2019-10-01 07:59:59,2019-10-01 08:02:04,N,1.0,116,116,1.0,0.3,3.5,0.0,0.5,1.0,0.0,,0.3,5.3,1.0,1.0,0.0
2.0,2019-10-01 07:11:47,2019-10-01 07:20:44,N,1.0,116,244,1.0,1.36,8.0,0.0,0.5,1.2,0.0,,0.3,10.0,1.0,1.0,0.0
2.0,2019-10-01 07:56:04,2019-10-01 08:03:30,N,1.0,116,166,1.0,1.06,6.5,0.0,0.5,1.46,0.0,,0.3,8.76,1.0,1.0,0.0
2.0,2019-10-01 07:44:42,2019-10-01 07:55:56,N,1.0,116,166,1.0,1.9,9.5,0.0,0.5,2.06,0.0,,0.3,12.36,1.0,1.0,0.0
2.0,2019-10-01 07:33:49,2019-10-01 07:41:20,N,1.0,41,42,1.0,1.09,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
